sentence,word,tag,relevanceBag,model1,model2,model3,model4,model5
19805,5,B-PER,[],6.215856410562992e-05,2.7411762857809663e-05,2.0755931473104283e-05,3.425178647376015e-07,4.238951678559033e-08
18098,0,B-PER,[1],0.0038721710443496704,0.0006282780668698251,1.700726897979621e-05,4.0531158447265625e-06,2.0265579223632812e-06
11634,1,B-PER,[2],8.216011337935925e-05,3.598630428314209e-05,0.000226642529014498,4.1464769310550764e-05,1.2566708496031254e-07
2858,33,B-PER,[],2.7846544981002808e-05,7.129933510441333e-05,7.8719669545535e-05,1.2499247077357722e-06,2.302598964831759e-07
3604,9,B-PER,[10],0.0001915542088681832,0.00010603666305541992,2.7298927307128906e-05,1.928669384199111e-07,2.5399141845294793e-08
8505,8,B-PER,[],5.366432014852762e-05,1.2114815035602078e-05,1.9493018044158816e-06,2.2866031734736225e-08,6.6827130495994425e-09
1574,0,B-PER,[],2.0157021936029196e-05,5.225185304880142e-06,1.3664393918588758e-06,2.37141364323179e-07,9.87547221775742e-09
1133,26,B-PER,[],0.00012649781274376437,1.8841223209165037e-05,1.669513585511595e-05,3.1797753763385117e-07,1.288325535142576e-07
4692,1,B-PER,[2],6.496580317616463e-05,2.4133203623932786e-05,1.4041356735106092e-06,3.1723681459538966e-08,9.013013529957092e-10
9435,0,B-PER,[1],2.0495819626376033e-05,3.633700544014573e-06,3.1006152312329505e-07,5.60510642344525e-08,2.099275975275816e-09
13584,0,B-PER,[1],0.0005310177803039551,7.573177572339773e-05,0.00015871710638748482,2.3327704411713057e-05,6.484881396318087e-07
14323,10,B-PER,[11],0.00037097930908203125,0.0002211928367614746,3.9696693420410156e-05,4.6081481741566677e-07,5.295568428209663e-09
20016,19,B-PER,[20],5.015649367123842e-05,4.581055691232905e-05,2.580881118774414e-05,1.996755599975586e-05,4.291534423828125e-06
15704,18,B-PER,[],0.0002208249643445015,0.00018953625112771988,0.00012434303062036633,8.945986337494105e-06,1.4415995792660397e-06
9321,15,B-PER,[],8.205449557863176e-05,2.779647911665961e-05,2.12826780625619e-05,3.1316480431087257e-07,6.003919139629943e-09
12401,9,B-PER,[],0.01497507095336914,0.003334302455186844,0.00038176774978637695,2.86102294921875e-05,1.440982123313006e-05
18290,2,B-PER,[],2.2028398234397173e-05,3.535475843818858e-05,3.7184450150107295e-06,1.1752331374736968e-07,7.704065829727824e-09
359,3,B-PER,[],0.00011988234473392367,7.2154070949181914e-06,0.0008034110069274902,0.000200541689991951,2.1938139980193228e-06
14847,6,B-PER,[],7.715393439866602e-05,0.00018161511979997158,2.2322845325106755e-05,9.231321769220813e-07,2.690897815682547e-08
17506,1,B-PER,[],0.00016918720211833715,9.373575448989868e-05,2.193450927734375e-05,6.67400672682561e-06,5.267940196063137e-06
13002,0,B-PER,[],6.625341484323144e-06,1.2470678484532982e-05,1.7629849025979638e-05,3.71557135281364e-07,1.6181639717061103e-07
1579,0,B-PER,[],7.497310434700921e-07,1.118144609790761e-06,1.3650451364810579e-06,3.6090881394557073e-09,3.5671208209464567e-09
6480,0,B-PER,[],0.000715162605047226,0.00022115901811048388,3.4287822927581146e-06,1.1920928955078125e-07,4.245287715115564e-12
18525,6,B-PER,[],0.001013636589050293,0.00042885541915893555,0.0006069540977478027,1.9537130356184207e-05,1.037753918353701e-06
7147,11,B-PER,[],0.00042277155444025993,2.6334368158131838e-05,1.0806613317981828e-05,1.471999075874919e-05,2.3126016230889945e-06
9153,6,B-PER,[4],0.0007862192578613758,0.0003674296895042062,0.00011265277862548828,1.5958068161125993e-05,5.110800884722266e-07
3478,2,B-PER,[3],1.8960126908496022e-06,9.23394054552773e-07,1.6000425375750638e-06,1.0271266148720315e-07,5.836540140080615e-09
19772,9,B-PER,[],0.009485099464654922,0.00017845025286078453,4.30599320679903e-05,1.1187774362042546e-05,7.878545460471287e-08
20018,4,B-PER,[],0.0035809632390737534,0.0004064585082232952,0.00011134147644042969,1.1655403966415179e-06,2.89147919829702e-07
8398,0,B-PER,[1],2.584978938102722e-05,1.7881393432617188e-06,2.2910608095116913e-06,1.701056628888864e-09,4.0821394340165035e-11
10252,0,B-PER,[5],5.4125674068927765e-05,2.060865517705679e-05,6.08624832239002e-05,1.1299429843347752e-05,7.046349992378964e-07
13475,3,B-PER,[],0.00015689515566919,4.2428262531757355e-05,9.190020136884414e-06,1.8930114720205893e-07,2.917329311458161e-08
2151,17,B-PER,[18],0.001326120924204588,0.00015763100236654282,5.733966827392578e-05,7.2389363481306646e-06,8.17457475932315e-07
460,0,B-PER,[],0.0002895086072385311,5.392881575971842e-05,9.873561793938279e-06,2.866474346774339e-07,2.0806840694831408e-09
4044,4,B-PER,[],0.0007866024971008301,0.00043840456964971963,0.0001074075698852539,4.410743713378906e-06,7.158438819487856e-08
4135,5,B-PER,[],0.002544176299124956,0.0027790640451712534,0.0004787016659975052,3.808736801147461e-05,6.526708602905273e-05
10283,0,B-PER,"[2, 3, 4]",1.0245945304632187e-05,1.3409764505922794e-05,1.7762184143066406e-05,5.16542058903724e-07,1.6533633839799222e-07
15709,3,B-PER,[4],9.00473678484559e-05,5.784614768344909e-05,3.367442332091741e-05,3.5793623283097986e-06,1.1187562165559939e-07
17776,2,B-PER,[],0.00021516531705856323,0.0001255146853509359,5.229356429481413e-05,9.474955732002854e-06,6.85333816363709e-08
4223,18,B-PER,[19],0.003228200599551201,0.0026875734329223633,0.0004008561372756958,6.852718070149422e-05,1.832213092711754e-05
755,0,B-PER,[],2.1458137780427933e-05,7.102685049176216e-05,2.310772833880037e-05,8.160750439856201e-07,8.344650268554688e-07
11402,0,B-PER,[1],4.316636477597058e-05,1.6785248590167612e-05,6.048241630196571e-06,1.2209119404360536e-07,4.19437427012781e-08
8168,8,B-PER,[9],0.00024271011352539062,0.0012240298092365265,0.00025500325864413753,6.5763853172029485e-06,4.980108769814251e-07
17786,12,B-PER,[],9.539804887026548e-05,3.6690791603177786e-05,4.894303856417537e-05,3.868008207064122e-06,2.8373924578772858e-06
15595,0,B-PER,[],1.3251337804831564e-06,9.330360626336187e-07,1.283176061406266e-06,2.3597163334443394e-08,7.100311005814319e-09
10267,11,B-PER,[12],0.0009474018588662148,0.00037425756454467773,0.00030508218333125114,3.337860107421875e-06,2.810655530538497e-07
19395,1,B-PER,"[2, 3]",7.545296102762222e-05,5.800789222121239e-05,0.0001493489253334701,4.3050471276728786e-07,2.939752108410687e-09
13523,0,B-PER,[1],5.1966882892884314e-05,1.0668777576938737e-05,4.8847077778191306e-06,6.284862479333242e-07,1.1249144904468267e-07
4412,15,B-PER,[],0.00032339419703930616,6.344094435917214e-05,0.0007507329573854804,0.0005011148750782013,5.5471318773925304e-06
20723,6,B-PER,[22],0.003241521946620196,0.0024871826171875,0.003769591450691223,0.0017360271885991096,0.00028145313262939453
19985,0,B-PER,[],0.0001588929444551468,4.568937583826482e-05,5.589468401012709e-06,2.179105649702251e-06,1.3836256584909279e-08
14922,12,B-PER,[],4.930328577756882e-05,3.282636316725984e-05,4.900664134765975e-05,2.478477711065352e-06,3.457278126006713e-07
1130,4,B-PER,[],0.0017197728157043457,0.000819213455542922,5.881511606276035e-05,2.8252601623535156e-05,3.496453156004442e-06
4443,30,B-PER,[],0.00015274062752723694,1.796887954697013e-05,1.2803364370483905e-05,1.7851450593298068e-06,5.1852111937478185e-08
20104,44,B-PER,[],0.000403418205678463,0.0006756782531738281,1.649992134389322e-05,5.841255187988281e-06,2.4437904357910156e-06
11401,0,B-PER,[],8.313218131661415e-06,1.5168618119787425e-05,3.919813025277108e-06,3.950494146920391e-06,5.2971032005189045e-08
15095,0,B-PER,[],2.640350430738181e-06,5.031592991144862e-07,1.404856107001251e-07,1.716375486182642e-08,1.2514129732466017e-09
1577,0,B-PER,[],1.9741382857318968e-06,2.7401492843637243e-06,1.2588498066179454e-07,1.1782880449118238e-08,1.1574530223157353e-10
11970,0,B-PER,[],1.8030405044555664e-05,5.328856786945835e-06,2.5868939701467752e-06,3.31116041252244e-08,6.804462771015096e-09
5633,17,B-PER,[18],3.378267865628004e-05,3.740633837878704e-05,9.681493975222111e-05,3.9143196772783995e-06,1.8137409369956004e-06
418,6,B-PER,[],0.0001079007051885128,1.0202944395132363e-05,4.313988029025495e-06,3.005630588859276e-08,5.12359238369342e-10
17581,11,B-PER,[12],2.9828675906173885e-05,2.9808812541887164e-05,3.4051830880343914e-05,1.1201074812561274e-05,7.443602953571826e-06
