sentence,word,tag,relevanceBag,model1,model2,model3,model4,model5
19805,5,B-PER,[],2.9366929084062576e-05,2.260006294818595e-05,1.8696198821999133e-05,1.964020555078605e-07,2.882021377104138e-08
18098,0,B-PER,[1],0.0005009174346923828,0.00020140205742791295,8.32467048894614e-06,2.8977100328120287e-06,1.9295519970707886e-07
11634,1,B-PER,[2],3.21446277666837e-05,5.201882686378667e-06,3.1002730338514084e-07,2.1366020064306213e-09,3.20196993919275e-11
2858,33,B-PER,[],2.581014996394515e-05,4.531055310508236e-05,4.358192381914705e-05,1.1193834552614135e-06,1.670604206083226e-07
3604,9,B-PER,[10],0.0001106590498238802,5.9499870985746384e-05,1.2785982107743621e-05,1.1920928955078125e-07,1.4633600914359945e-08
8505,8,B-PER,[],4.777864523930475e-05,1.0348921932745725e-05,1.6296944522764534e-06,9.097965047999423e-09,3.711414287010939e-09
1574,0,B-PER,[],8.495058864355087e-06,3.4776167012751102e-06,1.2776654330082238e-06,7.676334234929527e-08,2.3902373413875466e-09
1133,26,B-PER,[],9.087938815355301e-05,1.3407502592599485e-05,1.4183096936903894e-05,3.140389708278235e-07,3.10087671095971e-08
4692,1,B-PER,[2],2.7568588848225772e-05,1.3306849723448977e-05,1.3609420079774281e-06,2.36607744646955e-08,2.313802393498314e-10
9435,0,B-PER,[1],5.689778845408e-06,1.1388674465706572e-06,1.287021405005362e-07,4.5992782027326484e-08,1.4391101643695947e-09
13584,0,B-PER,[1],0.00023731496185064316,5.612929817289114e-05,0.0001221728598466143,1.6101578751204215e-05,4.668039297328619e-07
14323,10,B-PER,[11],0.0003182459622621536,0.00012471701484173536,1.867038372438401e-05,2.384185791015625e-07,1.0609930989335936e-09
20016,19,B-PER,[20],4.977241042070091e-05,2.784439129754901e-05,1.1827796697616577e-05,1.127066025219392e-05,1.7046577340806834e-06
15704,18,B-PER,[],0.00021732039749622345,0.000133514404296875,4.005886148661375e-05,3.744363766600145e-06,8.305626124638366e-07
9321,15,B-PER,[],7.46545847505331e-05,2.151606349798385e-05,1.9087109649262857e-05,2.464837791649188e-07,5.2064237365812005e-09
12401,9,B-PER,[],0.004603028297424316,0.001276286318898201,0.00013071298599243164,2.7418136596679688e-06,3.5762786865234375e-07
18290,2,B-PER,[],2.160271833417937e-06,1.6860540199559182e-06,7.573407856398262e-07,3.7207666281346974e-08,2.14293999212245e-10
359,3,B-PER,[],2.7827569283545017e-05,5.855144991073757e-06,0.00014711209223605692,6.795989611418918e-05,6.52167159387318e-07
14847,6,B-PER,[],1.4277859008871019e-05,3.1896524887997657e-06,4.04151069233194e-06,1.6861722684780034e-08,1.913058669811285e-08
17506,1,B-PER,[],8.654594421386719e-05,2.3397617042064667e-05,8.57598934089765e-06,8.849115147313569e-07,2.1291889140684361e-07
