sentence,word,tag,relevanceBag,model1,model2,model3,model4,model5
19805,5,B-PER,[],7.354808622039855e-05,3.585615195333958e-05,7.411616388708353e-05,8.601632828231232e-07,1.060153635989991e-07
18098,0,B-PER,[1],0.005529042333364487,0.011406362056732178,0.0009698271751403809,8.62681292801426e-06,4.2150019226028235e-06
11634,1,B-PER,[2],0.000193864107131958,0.01227232813835144,0.005324520170688629,0.000166623242876085,9.675782806084499e-07
2858,33,B-PER,[],4.210105544188991e-05,0.00011129677295684814,0.00010024057701230049,2.3676693672314286e-06,3.1456584110856056e-06
3604,9,B-PER,[10],0.00034664967097342014,0.00011360645294189453,4.653795963349694e-05,3.3354085360315366e-07,1.1920928955078125e-07
8505,8,B-PER,[],0.0003091655671596527,2.5489876861684024e-05,3.658157947938889e-05,3.4207653243356617e-07,1.216127998304728e-08
1574,0,B-PER,[],3.69428307749331e-05,7.395283319056034e-06,1.956610503839329e-06,2.924580257968046e-07,3.691677648021141e-07
1133,26,B-PER,[],0.00012966967187821865,3.0875205993652344e-05,1.803133636713028e-05,1.9073486328125e-06,2.7969326765742153e-07
4692,1,B-PER,[2],7.711133366683498e-05,4.780213930644095e-05,1.110407174564898e-05,1.4336377262225142e-05,3.4289996619918384e-08
9435,0,B-PER,[1],0.00016338512068614364,1.9263166905147955e-05,3.385135642020032e-06,2.872325239877682e-07,5.538686842498919e-09
13584,0,B-PER,[1],0.00083793920930475,0.00024444326481898315,0.00017379613268531102,6.365776062011719e-05,2.807198182352977e-06
14323,10,B-PER,[11],0.001162317581474781,0.00040074484422802925,0.00014865398406982422,8.996002668348879e-07,4.250162533026014e-08
20016,19,B-PER,[20],0.00063792312721489,0.0006780577823519707,3.8397847674787045e-05,4.491899596814619e-05,4.766459817062696e-06
15704,18,B-PER,[],0.0011525452136993408,0.000837814761325717,0.0002403677817710559,9.464471077080816e-06,2.010101070482051e-06
9321,15,B-PER,[],8.566128599341027e-05,5.34484934178181e-05,2.387034612638672e-05,5.480578124661406e-07,1.0762546409637253e-08
12401,9,B-PER,[],0.02466905117034912,0.0054364800453186035,0.0009325351566076279,9.282887913286686e-05,0.00044101476669311523
18290,2,B-PER,[],5.932757630944252e-05,3.933694097213447e-05,2.014732308452949e-05,3.203367100468313e-07,3.3544381494721165e-08
359,3,B-PER,[],0.00013586939894594252,0.0004225672091706656,0.01154678501188755,0.0017918944358825684,0.0013094544410705566
14847,6,B-PER,[],0.00023171911016106606,0.0004603270790539682,3.3670443372102454e-05,2.530186975491233e-06,6.456303314195111e-08
17506,1,B-PER,[],0.0009743012487888336,0.0001240114215761423,2.7653761208057404e-05,1.8740713130682707e-05,1.2639011401915923e-05
13002,0,B-PER,[],1.431535929441452e-05,2.788286656141281e-05,3.745383583009243e-05,9.532050171401352e-07,3.331663265271345e-07
1579,0,B-PER,[],1.5862169675529003e-06,2.772692823782563e-06,6.64912658976391e-06,3.5535640563466586e-07,6.129356648898465e-07
6480,0,B-PER,[],0.0023473501205444336,0.00042879581451416016,3.123283386230469e-05,1.287928199644739e-07,3.799622860789498e-08
18525,6,B-PER,[],0.002807270735502243,0.0014037038199603558,0.0033989110961556435,0.0009946268983185291,1.2160962796770036e-06
7147,11,B-PER,[],0.0006430856883525848,0.0003621444629970938,0.00019965856336057186,2.1713019123126287e-05,2.3945745851960965e-05
9153,6,B-PER,[4],0.0037379004061222076,0.0008668477239552885,0.00048335723113268614,2.9477436328306794e-05,1.1718913981439982e-06
3478,2,B-PER,[3],3.689407549245516e-06,5.225199856795371e-06,4.096811608178541e-06,9.556993632031663e-07,2.031321955087151e-08
19772,9,B-PER,[],0.012066304683685303,0.0021356940269470215,0.0032113650086103007,0.0001618060471884064,3.403425216674805e-05
20018,4,B-PER,[],0.0037417675484903157,0.0009357384296890814,0.0010014157742261887,5.36892912350595e-05,9.63014576882415e-06
8398,0,B-PER,[1],4.256883403286338e-05,5.914520443184301e-06,2.3610646735505725e-06,7.709864136007383e-09,8.469805239108563e-11
10252,0,B-PER,[5],0.00011217128485441208,2.4457520339637995e-05,0.00012873206833319273,1.6762987797847018e-05,2.5563865619915305e-06
13475,3,B-PER,[],0.0002981188881676644,5.665106436936185e-05,1.0232950444333255e-05,2.6425196608670376e-07,4.6497802941303235e-08
2151,17,B-PER,[18],0.0013498383486876264,0.0004181278436590219,9.626150131225586e-05,4.309415817260742e-05,4.45140540250577e-06
460,0,B-PER,[],0.0025783181190490723,0.0014870245940983295,0.00014340353664010763,7.69221514929086e-07,6.941618302391817e-08
4044,4,B-PER,[],0.0021112681715749204,0.0004535348271019757,0.000258531315722621,1.7717800801619887e-05,2.9727669075632363e-06
4135,5,B-PER,[],0.011668145656585693,0.027687102556228638,0.0041574835777282715,0.0003188769333064556,0.00016771175432950258
10283,0,B-PER,"[2, 3, 4]",1.806393265724182e-05,2.8327107429504395e-05,1.8447201000526547e-05,8.586650248609828e-07,2.177680755721667e-07
15709,3,B-PER,[4],9.1370107838884e-05,6.899470463395119e-05,5.672959377989173e-05,5.216590579948388e-06,1.8446985450282227e-07
